@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"This_product_can_be_viewed_by_any_web_browser_and_has_been_tested_for_compliance_with_Mozilla_Internet_Explorer_Netscape_Navigator_and_Opera_","This_can_be_viewed_by_any_web_browser_and_has_been_tested_for_compliance_with_Mozilla_Internet_Explorer_Netscape_Navigator_and_Opera_","product","relevant"
"The_Systems_are_no_constraints_at_this_point_in_time_","The_are_no_constraints_at_this_point_in_time_","Systems","relevant"
"The_user_documentation_can_be_found_in_this_SRS_","The_user_can_be_found_in_this_SRS_","documentation","relevant"
"We_assume_that_extra_documentation_beyond_this_SRS_would_not_be_necessary_in_order_for_the_user_to_utilize_this_product_","assume_that_extra_beyond_this_SRS_would_not_be_necessary_in_order_for_the_to_utilize_this_product_","We_documentation_user","relevant"
"This_feature_will_give_the_user_a_secure_and_simple_login_screen_","This_will_give_the_user_a_secure_and_simple_login_screen_","feature","relevant"
"It_is_based_on_professor_Cubert_s_exclusionary_principle_","is_based_on_professor_Cubert_s_exclusionary_principle_","It","relevant"
"This_means_rather_than_creating_try_catches_for_a_handful_of_error_types_it_just_has_only_a_handful_of_available_and_possible_inputs_to_prevent_any_improper_logging_in","means_rather_than_creating_try_catches_for_a_handful_of_error_types_just_has_only_a_handful_of_available_and_possible_inputs_to_prevent_any_improper_logging_in","This_it","relevant"
"It_will_consist_of_two_basic_fields_Username_and_Password_","will_consist_of_two_basic_fields_Username_and_Password_","It","relevant"
"the_systems_are_two_buttons_Login_and_Lost_or_Forgot_Password_","the_are_two_buttons_Login_and_Lost_or_Forgot_Password_","systems","relevant"
"Login_will_submit_the_entered_data_for_approval_followed_by_access_and_the_forgot_password_will_direct_the_user_to_access_his_her_password_which_has_been_forgotten_","will_submit_the_entered_data_for_approval_followed_by_access_and_the_forgot_password_will_direct_the_user_to_access_his_her_password_has_been_forgotten_","Login_which","relevant"
"The_most_important_function_is_to_only_grant_access_to_users_that_are_listed_in_the_database_","The_most_important_is_to_only_grant_access_to_users_are_listed_in_the_database_","function_that","relevant"
"The_customer_will_provide_the_information_on_who_will_be_allowed_access_","The_will_provide_the_information_on_will_be_allowed_access_","customer_who","relevant"
"To_implement_the_security_the_web_page_must_check_the_database_to_see_if_the_Username_and_Password_are_valid_","To_implement_the_security_the_web_must_check_the_database_to_see_if_the_and_Password_are_valid_","page_Username","relevant"
"If_they_are_not_the_user_will_receive_an_Invalid_login_Please_try_again_response_","If_are_not_the_will_receive_an_Invalid_login_Please_try_again_response_","they_user","relevant"
"This_feature_will_allow_the_user_to_edit_the_number_of_TA_slots_for_a_specific_course_","This_will_allow_the_to_edit_the_number_of_TA_slots_for_a_specific_course_","feature_user","relevant"
"The_user_will_be_given_a_list_of_course_numbers_and_names_for_a_given_semester_","The_will_be_given_a_list_of_course_numbers_and_names_for_a_given_semester_","user","relevant"
"They_will_also_be_provided_with_the_number_of_students_enrolled_in_each_specific_class_","will_also_be_provided_with_the_number_of_students_enrolled_in_each_specific_class_","They","relevant"
"This_interface_will_consist_of_basic_fields_for_the_user_to_enter_information_","This_will_consist_of_basic_fields_for_the_to_enter_information_","interface_user","relevant"
"Also_information_about_each_person_in_the_database_that_is_listed_will_be_shown_if_the_mouse_is_highlighting_a_name_for_one_second_","Also_about_each_person_in_the_database_is_listed_will_be_shown_if_the_is_highlighting_a_name_for_one_second_","information_that_mouse","relevant"
"This_helps_alleviate_some_time_when_the_user_is_searching_for_data_because_it_lessens_the_usage_of_the_submit_button_because_the_data_has_already_been_found_","helps_alleviate_some_time_when_the_is_searching_for_data_because_lessens_the_usage_of_the_submit_button_because_the_has_already_been_found_","This_user_it_data","relevant"
"It_will_therefore_take_you_to_the_following_page_of_options_","will_therefore_take_you_to_the_following_page_of_options_","It","relevant"
"The_main_function_will_use_PHP_to_pull_the_course_information_off_of_the_database_","The_main_will_use_PHP_to_pull_the_course_information_off_of_the_database_","function","relevant"
"This_feature_will_not_only_provide_the_user_with_the_general_information_on_all_the_applicants_but_also_allow_them_to_assign_and_update_the_TA_categories_","This_will_not_only_provide_the_user_with_the_general_information_on_all_the_applicants_but_also_allow_to_assign_and_update_the_TA_categories_","feature_them","relevant"
"The_user_will_be_given_a_list_of_names_and_UFID_s_of_all_the_applicants_to_their_courses_","The_will_be_given_a_list_of_names_and_UFID_s_of_all_the_applicants_to_their_courses_","user","relevant"
"They_will_also_be_given_the_ability_to_sort_the_applicants_in_order_of_UFID_or_alphabetically_by_their_last_names_","will_also_be_given_the_ability_to_sort_the_applicants_in_order_of_UFID_or_alphabetically_by_their_last_names_","They","relevant"
"The_user_will_be_able_to_change_the_status_of_the_applicants_as_needed_","The_will_be_able_to_change_the_status_of_the_applicants_as_needed_","user","relevant"
"This_interface_will_depend_mostly_on_retrieving_information_from_the_database_","This_will_depend_mostly_on_retrieving_information_from_the_database_","interface","relevant"
"PHP_will_be_integrated_into_the_HTML_and_will_retrieve_needed_information_for_the_interface_","will_be_integrated_into_the_HTML_and_will_retrieve_needed_information_for_the_interface_","PHP","relevant"
"The_site_will_be_xhtml1_1_and_css_compliant_","The_will_be_xhtml1_1_and_css_compliant_","site","relevant"
"The_first_interface_is_the_log_in_screen_","The_first_is_the_log_in_screen_","interface","relevant"
"This_is_where_the_user_has_a_specific_Username_and_Password_so_that_they_can_gain_access_to_the_database_","is_where_the_has_a_specific_Username_and_Password_so_that_can_gain_access_to_the_database_","This_user_they","relevant"
"You_can_choose_which_semester_s_classes_you_would_like_to_view_and_are_able_to_update_any_of_the_categories_displayed_in_the_columns_","can_choose_which_semester_s_classes_would_like_to_view_and_are_able_to_update_any_of_the_categories_displayed_in_the_columns_","You_you","relevant"
"The_next_and_final_interface_is_the_assign_update_page_","The_next_and_final_is_the_assign_update_page_","interface","relevant"
"Though_not_necessarily_interfacing_with_the_hardware_the_system_must_make_use_with_an_internet_connection_","Though_not_necessarily_interfacing_with_the_hardware_the_must_make_use_with_an_internet_connection_","system","relevant"
"The_system_uses_an_internet_connection_to_connect_to_the_database_","The_uses_an_internet_connection_to_connect_to_the_database_","system","relevant"
"The_code_itself_though_does_not_specifically_direct_the_network_controllers_to_do_any_work_","The_itself_though_does_not_specifically_direct_the_network_controllers_to_do_any_work_","code","relevant"
"Along_with_the_internet_connection_the_system_makes_indirect_use_of_an_internet_browser_","Along_with_the_internet_connection_the_makes_indirect_use_of_an_internet_browser_","system","relevant"
"Outside_of_the_HTML_code_and_PHP_the_code_doesnt_tell_any_software_including_the_browser_what_to_do_","Outside_of_the_HTML_code_and_PHP_the_does_nt_tell_any_software_including_the_browser_what_to_do_","code","relevant"
"Access_to_the_database_should_be_restricted_to_people_that_are_required_to_view_information_about_TA_","to_the_database_should_be_restricted_to_people_are_required_to_view_information_about_TA_","Access_that","relevant"
"Passwords_and_ID_should_be_regulated_to_be_at_least_a_certain_length_and_must_contain_non_alphanumeric_characters_in_both_the_password_and_ID_","and_ID_should_be_regulated_to_be_at_least_a_certain_length_and_must_contain_non_alphanumeric_characters_in_both_the_password_and_ID_","Passwords","relevant"
