@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"During_typing_the_PHP_inspector_is_run_and_highlighting_of_errors_a_squiggly_line_under_the_code_occurs_for_the_file_Errors_detected_during_typing_are_not_displayed_in_the_problems_view_The_build_options_in_the_project_menu_determine_when_the_eclipse_builder_is_run_The_eclipse_builder_is_potentially_a_long_running_operation_Depending_on_the_changes_made_every_file_in_the_workspace_could_be_rebuilt_Eclipse_attempts_to_determine_the_files_that_have_changed_based_on_the_project_dependencies_The_eclipse_builder_is_run_as_a_background_task_so_that_the_developer_can_continue_to_work_Problems_detected_during_the_build_phase_will_show_up_in_the_problems_view_and_will_be_highlighted_using_a_squiggly_line_under_the_code_","During_typing_the_PHP_inspector_is_run_and_highlighting_of_errors_a_squiggly_line_under_the_code_occurs_for_the_file_detected_during_typing_are_not_displayed_in_the_problems_view_The_build_in_the_project_menu_determine_when_the_eclipse_is_run_The_eclipse_is_potentially_a_long_running_operation_Depending_on_the_changes_made_every_in_the_workspace_could_be_rebuilt_attempts_to_determine_the_files_have_changed_based_on_the_project_dependencies_The_eclipse_is_run_as_a_background_task_so_that_the_can_continue_to_work_detected_during_the_build_phase_will_show_up_in_the_problems_view_and_will_be_highlighted_using_a_squiggly_line_under_the_code_","Errors_options_builder_builder_file_Eclipse_that_builder_developer_Problems","irrelevant"
"When_a_project_is_closed_it_can_no_longer_be_changed_and_its_resources_no_longer_appear_in_the_Package_Explorer_Project_Outline_View_etc_To_re_open_the_project_select_the_project_in_the_PHP_Explorer_View_and_click_on_Open_Project_Eclipse_doesn_t_have_a_concept_of_prj_files_","When_a_is_closed_can_no_longer_be_changed_and_its_no_longer_appear_in_the_Package_Explorer_Project_Outline_View_etc_To_re_open_the_project_select_the_project_in_the_PHP_Explorer_View_and_click_on_Open_Project_does_n_t_have_a_concept_of_prj_files_","project_it_resources_Eclipse","irrelevant"
"Some_of_the_menu_items_may_be_handled_by_the_low_level_eclipse_infrastructure_and_not_require_implementation_by_the_PHP_project_Other_are_open_issues_to_be_resolved_but_are_listed_here_since_they_will_show_up_in_the_Menu_unless_some_specific_action_is_taken_to_turn_them_off_","of_the_menu_items_may_be_handled_by_the_low_level_eclipse_infrastructure_and_not_require_implementation_by_the_PHP_project_are_open_issues_to_be_resolved_but_are_listed_here_since_will_show_up_in_the_Menu_unless_some_specific_is_taken_to_turn_them_off_","Some_Other_they_action","irrelevant"
"When_a_location_is_specified_any_directory_file_at_that_location_will_be_part_of_the_project_Only_the_developer_s_data_files_will_reside_at_the_location_Eclipse_internal_project_files_will_reside_in_a_eclipse_internal_directory_","When_a_is_specified_any_directory_at_that_location_will_be_part_of_the_project_Only_the_s_data_will_reside_at_the_location_Eclipse_internal_project_will_reside_in_a_eclipse_internal_directory_","location_file_developer_files_files","relevant"
"The_ability_to_create_a_PHP_file_with_the_following_properties_will_be_supported_","The_to_create_a_PHP_file_with_the_following_properties_will_be_supported_","ability","relevant"
"A_Local_history_of_a_file_is_maintained_when_you_create_or_modify_a_file_Each_time_you_edit_and_save_a_file_a_copy_of_it_is_saved_This_allows_you_to_compare_your_current_file_state_to_a_previous_state_or_replace_the_file_with_a_previous_state_Each_state_in_the_local_history_is_identified_by_the_date_and_time_the_file_was_saved_","A_Local_of_a_file_is_maintained_when_create_or_modify_a_file_Each_time_edit_and_save_a_file_a_of_it_is_saved_allows_to_compare_your_current_file_state_to_a_previous_state_or_replace_the_file_with_a_previous_state_Each_in_the_local_history_is_identified_by_the_date_and_time_the_was_saved_","history_you_you_copy_This_you_state_file","relevant"
"If_the_project_is_being_maintained_in_CVS_the_option_to_compare_replace_restore_etc_the_file_from_CVS_will_be_supported_Anytime_a_PHP_file_is_synchronized_with_a_CVS_repository_the_properties_of_a_file_are_transferred_encoding_","If_the_is_being_maintained_in_CVS_the_option_to_compare_replace_restore_etc_the_from_CVS_will_be_supported_Anytime_a_PHP_is_synchronized_with_a_CVS_repository_the_of_a_file_are_transferred_encoding_","project_file_file_properties","irrelevant"
"The_PHP_Inspector_is_responsible_for_analyzing_all_PHP_code_files_in_an_Eclipse_Platform_The_PHP_inspector_should_inspect_the_following_PHP_Elements_PHP_classes_including_the_following_data_File_name_Positions_Modifier_","The_PHP_is_responsible_for_analyzing_all_PHP_code_files_in_an_Eclipse_Platform_The_PHP_should_inspect_the_following_PHP_Elements_PHP_classes_including_the_following_data_File_name_Positions_Modifier_","Inspector_inspector","relevant"
"This_is_the_source_of_all_PHP_language_classes_functions_and_constants_","is_the_source_of_all_PHP_language_classes_functions_and_constants_","This","relevant"
"Format_of_PHP_files_that_can_be_editable_","Format_of_PHP_files_can_be_editable_","that","relevant"
"The_file_should_be_located_as_part_of_the_plugin_installation_directory_in_a_lib_directory_","The_should_be_located_as_part_of_the_plugin_installation_directory_in_a_lib_directory_","file","relevant"
"Two_files_should_be_included_phpFunctions4_php_phpFunctions5_php","Two_should_be_included_phpFunctions4_php_phpFunctions5_php","files","relevant"
"Any_change_in_these_files_will_effect_the_following_in_all_projects_","Any_in_these_files_will_effect_the_following_in_all_projects_","change","relevant"
"PHP_Editor_should_extend_the_Web_Tools_text_editor_and_should_inherit_all_its_capabilities_and_actions_The_PHP_Editor_should_allow_working_on_more_then_one_programming_language_at_the_same_time_PHP_HTML_","PHP_should_extend_the_Web_Tools_text_editor_and_should_inherit_all_its_capabilities_and_actions_The_PHP_should_allow_working_on_more_then_one_programming_language_at_the_same_time_PHP_HTML_","Editor_Editor","relevant"
"Syntax_Coloring_PHP_Editor_should_color_several_languages_at_the_same_time_The_Syntax_Coloring_should_be_customizable_through_the_Editor_preferences_","Syntax_PHP_Editor_should_color_several_languages_at_the_same_time_The_Syntax_should_be_customizable_through_the_Editor_preferences_","Coloring_Coloring","relevant"
"Should_support_both_PHP_4_and_PHP_5_see_PHP_Project_PHP_Version_","Should_support_both_PHP_4_and_PHP_5_see_PHP_PHP_Version_","Project","relevant"
"The_PHP_editor_will_have_a_wizard_that_will_support_the_following_search_options_Classes_Functions_Constants_Variables_","The_PHP_will_have_a_wizard_will_support_the_following_search_options_Classes_Functions_Constants_Variables_","editor_that","relevant"
"The_scope_of_files_searched_can_be_limited_to_Workspace_Selected_Resources_Enclosing_Projects_and_Working_Set_When_the_search_is_completed_the_PHP_will_open_a_search_view_with_the_results_Files_when_opened_in_the_editor_will_be_annotated_with_the_search_result_","The_of_files_searched_can_be_limited_to_Workspace_Selected_Resources_Enclosing_Projects_and_Working_Set_When_the_is_completed_the_will_open_a_search_view_with_the_results_when_opened_in_the_editor_will_be_annotated_with_the_search_result_","scope_search_PHP_Files","relevant"
"Annotation_is_a_piece_of_information_attached_to_a_certain_region_of_a_text_document_","is_a_piece_of_information_attached_to_a_certain_region_of_a_text_document_","Annotation","relevant"
"The_editor_will_support_moving_to_the_next_previous_annotations_by_icons_on_the_Tool_Bar_and_menu_items_The_editor_will_support_the_preferences_set_in_annotation_preference_wizard_supported_by_the_Workbench_","The_will_support_moving_to_the_next_previous_annotations_by_icons_on_the_Tool_Bar_and_menu_items_The_will_support_the_preferences_set_in_annotation_preference_wizard_supported_by_the_Workbench_","editor_editor","relevant"
"Quick_Diff_provides_color_coded_change_indication_while_you_are_typing_When_the_mouse_cursor_is_placed_over_a_change_in_the_vertical_ruler_a_hover_displays_the_original_content_which_can_be_restored_using_the_ruler_s_context_menu_Quick_Diff_will_support_both_local_history_and_CVS_","Quick_provides_color_coded_change_indication_while_are_typing_When_the_mouse_is_placed_over_a_change_in_the_vertical_ruler_a_displays_the_original_content_can_be_restored_using_the_ruler_s_context_menu_Quick_will_support_both_local_history_and_CVS_","Diff_you_cursor_hover_which_Diff","relevant"
"The_PHP_Editor_will_support_the_standard_eclipse_Key_Bindings_","The_PHP_will_support_the_standard_eclipse_Key_Bindings_","Editor","relevant"
"The_Outline_view_displays_a_Tree_representation_of_the_contents_of_the_editor_that_is_currently_visible_in_the_editor_area_of_the_workbench_For_PHP_files_the_Outline_should_display_elements_like_classes_functions_variables_included_files_and_constants_It_should_optionally_also_display_the_content_outside_the_PHP_areas_ex_HTML_XML_CSS_JavaScript_","The_Outline_displays_a_Tree_representation_of_the_contents_of_the_editor_is_currently_visible_in_the_editor_area_of_the_workbench_For_PHP_files_the_should_display_elements_like_classes_functions_variables_included_files_and_constants_should_optionally_also_display_the_content_outside_the_PHP_areas_ex_HTML_XML_CSS_JavaScript_","view_that_Outline_It","relevant"
"PHP_nodes_support_Add_Delete_Rename_class_function_variable_included_file_constant_in_the_long_future_","PHP_support_Add_Delete_Rename_function_variable_included_file_constant_in_the_long_future_","nodes_class","relevant"
"Other_content_Provide_default_behavior_that_is_available_on_the_other_editors_For_example_HTML_content_nodes_should_have_the_same_context_menu_when_in_an_HTML_file_","Other_content_Provide_default_behavior_is_available_on_the_other_editors_For_example_HTML_content_should_have_the_same_context_menu_when_in_an_HTML_file_","that_nodes","relevant"
"Selection_Selecting_the_Tree_node_in_the_Outline_view_highlights_the_represented_element_on_the_editor_This_should_also_work_in_the_other_direction_meaning_that_the_Outline_view_should_highlight_the_node_represented_by_the_area_under_the_editor_s_caret_","Selection_Selecting_the_Tree_node_in_the_Outline_view_highlights_the_represented_element_on_the_editor_should_also_work_in_the_other_direction_meaning_that_the_Outline_should_highlight_the_node_represented_by_the_area_under_the_editor_s_caret_","This_view","relevant"
"The_Project_Outline_View_is_a_new_View_to_the_Eclipse_Platform_This_View_is_very_similar_to_the_Outline","The_Project_Outline_is_a_new_View_to_the_Eclipse_Platform_This_is_very_similar_to_the_Outline","View_View","relevant"
"View_except_that_it_should_display_the_elements_of_the_project_correspondent_to_the_opened_file_","View_except_that_should_display_the_elements_of_the_project_correspondent_to_the_opened_file_","it","relevant"
"All_other_functionality_should_be_identical_to_the_Outline_View_This_view_is_basically_gathering_of_all_Outline_Views_data_of_the_entire_project_files_Similar_to_the_Package_Explorer_from_the_JDT_the_PHP_Explorer_shows_the_PHP_element_hierarchy_of_the_PHP_projects_in_the_workbench_It_provides_a_PHP_specific_view_of_the_resources_shown_in_the_Navigator_","All_other_should_be_identical_to_the_Outline_View_This_is_basically_gathering_of_all_Outline_Views_data_of_the_entire_project_files_Similar_to_the_Package_Explorer_from_the_JDT_the_PHP_shows_the_PHP_element_hierarchy_of_the_PHP_projects_in_the_workbench_provides_a_PHP_specific_view_of_the_resources_shown_in_the_Navigator_","functionality_view_Explorer_It","relevant"
"The_element_hierarchy_is_derived_from_the_project_s_build_paths_","The_element_is_derived_from_the_project_s_build_paths_","hierarchy","relevant"
"The_PHP_Explorer_View_will_support_using_Working_Set_to_determine_the_projects_that_are_shown_","The_PHP_Explorer_will_support_using_Working_Set_to_determine_the_projects_are_shown_","View_that","relevant"
"The_actions_right_click_menus_of_the_Explorer_view_are_derived_form_the_Project_actions_appears_in_section_3_1_under_Right_Click_Menu_Items_","The_right_click_menus_of_the_Explorer_view_are_derived_form_the_Project_appears_in_section_3_1_under_Right_Click_Menu_Items_","actions_actions","relevant"
"The_Problems_view_should_display_all_PHP_errors_and_warnings_Should_include_include_files_problem_in_the_future_All_errors_and_warnings_will_have_a_description_resource_folder_and_location_associated_with_them_Resource_refers_to_the_php_file_containing_the_problem_Folder_refers_to_the_directory_containing_the_php_file_Location_will_refer_to_the_line_number_containing_the_problem_","The_Problems_should_display_all_PHP_errors_and_warnings_Should_include_include_files_problem_in_the_future_All_and_warnings_will_have_a_description_resource_folder_and_location_associated_with_them_refers_to_the_php_file_containing_the_problem_refers_to_the_directory_containing_the_php_file_will_refer_to_the_line_number_containing_the_problem_","view_errors_Resource_Folder_Location","relevant"
"When_a_user_clicks_on_a_problem_in_the_problems_view_the_php_file_containing_the_error_or_warning_will_be_displayed_in_the_editor_","When_a_clicks_on_a_problem_in_the_problems_view_the_php_containing_the_error_or_warning_will_be_displayed_in_the_editor_","user_file","relevant"
"When_a_user_clicks_on_a_missing_include_file_a_file_wizard_will_appear_to_add_the_file_to_the_project_","When_a_clicks_on_a_missing_include_file_a_file_will_appear_to_add_the_file_to_the_project_","user_wizard","relevant"
"Inspection_The_value_of_the_following_tags_should_be_inspected_abstract_access_author_copyright_deprecated_example_exception_final_global_ignore_internal_link_magic_name_return_package_param_see_since_static_staticvar_subpackage_throws_todo_var_and_version_","Inspection_The_of_the_following_tags_should_be_inspected_access_author_copyright_deprecated_example_exception_final_global_ignore_internal_link_magic_name_return_package_param_see_since_static_staticvar_subpackage_throws_todo_var_and_version_","value_abstract","relevant"
"Code_Assist_for_the_list_of_tags_appears_above_there_should_be_code_assist_as_well_","Code_for_the_list_of_tags_appears_above_there_should_be_code_assist_as_well_","Assist","relevant"
"Adding_description_Outline_view_right_click_action_to_add_description_to_the_selected_data_Project_Outline_View_right_click_action_to_add_description_to_the_selected_data_Code_Assist_Button_and_shortcut_to_add_description_to_the_selected_data_in_the_list_if_possible_will_be_added_in_future_versions_","Adding_description_Outline_view_right_click_action_to_add_description_to_the_selected_data_Project_Outline_View_right_click_to_add_description_to_the_selected_data_Code_Assist_Button_and_shortcut_to_add_description_to_the_selected_data_in_the_list_if_possible_will_be_added_in_future_versions_","action","relevant"
"In_a_document_with_PHP_as_well_as_other_content_i_e_HTML_each_content_should_have_a_Formatting_strategy_","In_a_document_with_PHP_as_well_as_other_content_i_e_HTML_each_should_have_a_Formatting_strategy_","content","relevant"
"Invocation_Formatting_is_initiated_by_either_ctrl_shift_F_key_combination_of_through_menu_There_should_be_both_a_global_menu_item_and_a_context_menu_item_","Invocation_is_initiated_by_either_ctrl_shift_F_key_combination_of_through_menu_There_should_be_both_a_global_menu_item_and_a_context_menu_item_","Formatting","relevant"
"Default_encoding_for_each_project_will_open_file_from_the_Explorer_view_with_this_encoding","Default_for_each_project_will_open_file_from_the_Explorer_view_with_this_encoding","encoding","relevant"
"File_chooser_will_include_a_list_of_all_available_encoding_options_with_the_default_encoding_selected_","File_will_include_a_list_of_all_available_encoding_options_with_the_default_encoding_selected_","chooser","relevant"
"The_system_save_file_with_a_specific_encoding_or_the_default_one_","The_save_file_with_a_specific_encoding_or_the_default_one_","system","relevant"
"This_is_a_Toolbar_and_Menu_option_similar_to_the_JDT_s_Open_Type_The_JDT_s_version_of_Open_Type_is_a_dialog_that_allows_the_user_to_search_for_Classes_and_Interfaces_and_subsequently_open_the_file_that_defines_it_For_PHP_this_behavior_will_be_extended_for_Classes_Functions_and_Constants_","is_a_Toolbar_and_Menu_option_similar_to_the_JDT_s_Open_Type_The_s_version_of_Open_Type_is_a_dialog_allows_the_to_search_for_Classes_and_Interfaces_and_subsequently_open_the_file_defines_it_For_PHP_this_will_be_extended_for_Classes_Functions_and_Constants_","This_JDT_that_user_that_behavior","relevant"
"This_view_is_an_offline_view_of_the_PHP_Manual_http_www_php_net_download_docs_php_The_PHP_IDE_should_be_customizable_to_work_with_any_downloaded_version_of_the_PHP_Manual_should_support_different_languages_The_manual_control_will_be_supported_by_extension_point_to_add_new_manuals_from_different_sites_","This_is_an_offline_view_of_the_PHP_Manual_http_www_php_net_download_docs_php_The_PHP_should_be_customizable_to_work_with_any_downloaded_version_of_the_PHP_Manual_should_support_different_languages_The_manual_will_be_supported_by_extension_point_to_add_new_manuals_from_different_sites_","view_IDE_control","irrelevant"
"The_view_should_support_Quick_link_from_the_editor_depends_on_the_caret_location_and_the_relevant_function_Link_from_the_PHP_functions_list_","The_should_support_Quick_from_the_editor_depends_on_the_caret_location_and_the_relevant_function_Link_from_the_PHP_functions_list_","view_link","relevant"
"In_eclipse_Perspectives_define_the_initial_set_and_layout_of_views_in_the_Workbench_window_","In_eclipse_define_the_initial_set_and_layout_of_views_in_the_Workbench_window_","Perspectives","relevant"
"The_PHP_perspective_will_include_the_following_views_PHP_Explorer_View_Outline_View_Editor_View_Project_Outline_View_Problems_View_PHP_Manual_View_if_possible_with_embedded_browser_problem_PHP_Functions_View_Search_View_after_the_first_search_","The_PHP_will_include_the_following_views_PHP_Explorer_View_Outline_View_Editor_View_Project_Outline_View_Problems_View_PHP_Manual_View_if_possible_with_embedded_browser_problem_PHP_Functions_View_Search_View_after_the_first_search_","perspective","relevant"
"The_PHP_perspective_will_save_state_views_files_opened_etc_when_closed_And_reopen_to_the_same_state_The_PHP_perspective_will_support_customization_through_the_Customize_Perspective_wizard_The_customized_perspective_can_be_saved_under_a_user_specified_named_It_is_possible_for_a_developer_to_have_multiple_PHP_perspectives_with_different_customizations_each_with_its_own_name_The_PHP_perspective_will_also_support_resetting_the_perspective_back_to_the_default_settings_","The_PHP_will_save_state_views_opened_etc_when_closed_And_reopen_to_the_same_state_The_PHP_will_support_customization_through_the_Customize_Perspective_wizard_The_customized_can_be_saved_under_a_user_specified_named_is_possible_for_a_to_have_multiple_perspectives_with_different_customizations_each_with_its_own_name_The_PHP_will_also_support_resetting_the_perspective_back_to_the_default_settings_","perspective_files_perspective_perspective_It_developer_PHP_perspective","relevant"
"The_Debug_Perspective_will_present_the_user_with_common_debugging_tasks_There_will_be_toolbar_buttons_to_stop_pause_and_start_execution_The_perspective_will_contain_the_following_views_","The_Debug_will_present_the_user_with_common_debugging_tasks_There_will_be_toolbar_buttons_to_stop_pause_and_start_execution_The_will_contain_the_following_views_","Perspective_perspective","irrelevant"
"Gather_all_TODO_tasks_from_the_entire_PHP_project_files_to_a_complete_list_as_it_is_today_The_List_should_appear_next_to_the_Problems_View_TODO_task_should_start_with_TODO_","Gather_all_TODO_tasks_from_the_entire_PHP_project_files_to_a_complete_list_as_is_today_The_should_appear_next_to_the_Problems_View_TODO_should_start_with_TODO_","it_List_task","irrelevant"
