@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"The_system_provides_a_utility_and_reports_for_identifying_item_records_to_purge_based_on_customizable_criteria_such_as_an_item_has_been_in_status_missing_for_more_than_X_months_an_item_has_status_discard_weed_The_system_has_a_report_to_assist_in_the_conversion_of_items_from_one_status_to_another_The_system_provides_a_last_copy_report_that_would_single_out_a_library_system_s_last_copies_to_assist_catalogers_who_need_to_edit_WorldCat_entries_The_system_provides_a_quick_effective_method_of_deleting_volume_entries_along_with_copy_entries_as_well_as_records_with_no_items_attached_","The_provides_a_utility_and_reports_for_identifying_item_records_to_purge_based_on_customizable_criteria_such_as_an_has_been_in_status_missing_for_more_than_X_months_an_has_status_discard_weed_The_has_a_report_to_assist_in_the_conversion_of_items_from_one_status_to_another_The_provides_a_last_copy_report_would_single_out_a_library_system_s_last_copies_to_assist_catalogers_need_to_edit_WorldCat_entries_The_provides_a_quick_effective_method_of_deleting_volume_entries_along_with_copy_entries_as_well_as_records_with_no_items_attached_","system_item_item_system_system_that_who_system","relevant"
"Queries_and_reports_can_be_limited_or_grouped_by_various_patron_characteristics_including_age_range_zip_code_county_of_residence_home_branch_patron_type_and_preferred_language_","and_reports_can_be_limited_or_grouped_by_various_patron_characteristics_including_age_range_zip_code_county_of_residence_home_branch_patron_type_and_preferred_language_","Queries","relevant"
"The_system_generates_a_list_of_patrons_with_no_circulation_or_electronic_activity_in_the_last_X_days_X_configurable_List_should_be_configurable_to_System_Home_Library_County_etc_","The_generates_a_list_of_patrons_with_no_circulation_or_electronic_activity_in_the_last_X_days_X_configurable_should_be_configurable_to_System_Home_Library_County_etc_","system_List","relevant"
"Transaction_history_is_maintained_for_X_days_X_is_configurable_monthly_and_annual_aggregate_information_is_maintained_indefinitely_","Transaction_is_maintained_for_X_days_is_configurable_monthly_and_annual_aggregate_is_maintained_indefinitely_","history_X_information","relevant"
"Transactions_can_be_grouped_by_hour_terminal_branch_and_system_Transactions_include_check_ins_check_outs_fines_collected_patron_registrations_etc_and_can_be_queried_by_all_transactions_or_by_type_of_transaction_","can_be_grouped_by_hour_terminal_branch_and_system_include_check_ins_check_outs_collected_patron_registrations_etc_and_can_be_queried_by_all_transactions_or_by_type_of_transaction_","Transactions_Transactions_fines","relevant"
"The_system_counts_all_types_of_check_in_individually_and_cumulatively_book_drop_by_terminal_by_user_or_self_service_","The_counts_all_types_of_check_in_individually_and_cumulatively_book_drop_by_terminal_by_user_or_self_service_","system","relevant"
"The_system_counts_all_types_of_check_out_individually_and_cumulatively_staff_check_out_self_check_out_staff_renewal_self_checkout_renewal_online_renewal_OPAC_renewal_","The_counts_all_types_of_check_out_individually_and_cumulatively_staff_check_out_self_check_out_staff_renewal_self_checkout_renewal_online_renewal_OPAC_renewal_","system","relevant"
"The_system_counts_all_hold_requests_including_how_the_hold_was_placed_at_a_staff_desk_at_a_public_computer_inside_the_library_or_remotely_","The_counts_all_hold_requests_including_how_the_was_placed_at_a_staff_desk_at_a_public_computer_inside_the_library_or_remotely_","system_hold","irrelevant"
"The_system_can_generate_a_report_of_transactions_holds_placed_holds_filled_and_check_outs_per_patron_per_library_per_selected_group_o_libraries_per_system_per_county_The_system_displays_the_number_of_check_outs_and_placed_holds_per_patron_Holds_are_subtotaled_by_type_e_g_active_frozen_and_frozen_until_holds_","The_can_generate_a_report_of_transactions_placed_holds_filled_and_check_outs_per_patron_per_library_per_selected_group_o_libraries_per_system_per_county_The_displays_the_number_of_check_outs_and_placed_holds_per_patron_are_subtotaled_by_type_e_g_active_frozen_and_frozen_until_holds_","system_holds_system_Holds","relevant"
"The_system_can_generate_a_report_of_the_value_of_items_based_on_data_in_item_record_in_the_entire_collection_or_a_portion_Example_staff_can_obtain_value_of_all_items_with_status_of_longoverdue_or_value_of_all_dvds_in_children_s_collection_or_value_of_entire_collection_","The_can_generate_a_report_of_the_value_of_items_based_on_data_in_item_record_in_the_entire_collection_or_a_portion_Example_can_obtain_value_of_all_items_with_status_of_longoverdue_or_value_of_all_dvds_in_children_s_collection_or_value_of_entire_collection_","system_staff","relevant"
"All_reports_and_data_archiving_must_comply_with_standard_accounting_practice_and_state_county_and_municipal_auditing_requirements_","All_and_data_archiving_must_comply_with_standard_accounting_practice_and_state_county_and_municipal_auditing_requirements_","reports","relevant"
"Fines_charges_waivers_and_ecommerce_transactions_are_attached_to_patron_and_item_records_System_tracks_fines_waived_and_payments_made_per_library_Financial_information_can_be_updated_easily_As_an_example_a_staff_user_can_easily_query_patron_accounts_with_balances_greater_than_X_dollars_","_charges_waivers_and_ecommerce_transactions_are_attached_to_patron_and_item_records_tracks_fines_waived_and_payments_made_per_library_Financial_can_be_updated_easily_As_an_example_a_staff_can_easily_query_patron_accounts_with_balances_greater_than_X_dollars_","Fines_System_information_user","relevant"
"The_system_provides_financial_reports_including_patron_account_balances_by_patron_home_library_and_system_fines_and_charges_accrued_per_time_period_e_g_last_twelve_months_YTD_last_month_and_per_type_of_charge_overdue_fines_damaged_item_charges_lost_item_charges_etc_fines_waived_per_time_period_and_per_branch_payments_made_per_time_period_and_per_payment_method_e_g_staff_desk_self_check_station_OPAC_","The_provides_financial_reports_including_patron_account_balances_by_patron_home_library_and_system_fines_and_charges_accrued_per_time_period_e_g_last_twelve_months_YTD_last_month_and_per_type_of_charge_overdue_fines_damaged_item_charges_lost_item_charges_etc_waived_per_time_period_and_per_branch_payments_made_per_time_period_and_per_payment_method_e_g_staff_desk_self_check_station_OPAC_","system_fines","relevant"
"The_system_maintains_a_ledger_of_patron_payments_including_which_charges_payments_are_applied_to_to_facilitate_reconciliation_","The_maintains_a_ledger_of_patron_payments_including_which_charges_are_applied_to_to_facilitate_reconciliation_","system_payments","relevant"
