@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"The_system_will_be_developed_in_such_a_way_that_it_may_fail_once_in_a_year_","The_will_be_developed_in_such_a_way_that_may_fail_once_in_a_year_","system_it","relevant"
"Even_if_the_system_fails_the_system_will_be_recovered_back_up_within_an_hour_or_less_","Even_if_the_fails_the_will_be_recovered_back_up_within_an_hour_or_less_","system_system","relevant"
"The_accuracy_of_the_system_is_limited_by_the_accuracy_of_the_speed_at_which_the_employees_of_the_library_and_users_of_the_library_use_the_system_","The_of_the_system_is_limited_by_the_accuracy_of_the_speed_at_which_the_of_the_library_and_users_of_the_library_use_the_system_","accuracy_employees","relevant"
"The_system_shall_provide_100_access_reliability_","The_shall_provide_100_access_reliability_","system","relevant"
"The_Splash_Page_or_Information_page_should_be_able_to_be_downloaded_within_a_minute_using_a_56K_modem_","The_Splash_Page_or_Information_should_be_able_to_be_downloaded_within_a_minute_using_a_56_K_modem_","page","relevant"
"The_information_is_refreshed_every_two_minutes_","The_is_refreshed_every_two_minutes_","information","relevant"
"The_access_time_for_a_mobile_device_should_be_less_than_a_minute_","The_access_for_a_mobile_device_should_be_less_than_a_minute_","time","relevant"
"The_system_shall_respond_to_the_member_in_not_less_than_two_seconds_from_the_time_of_the_request_submittal_","The_shall_respond_to_the_member_in_not_less_than_two_seconds_from_the_time_of_the_request_submittal_","system","relevant"
"The_system_shall_be_allowed_to_take_more_time_when_doing_large_processing_jobs_","The_shall_be_allowed_to_take_more_time_when_doing_large_processing_jobs_","system","relevant"
"The_system_shall_take_as_less_time_as_possible_to_provide_service_to_the_administrator_or_the_librarian_","The_shall_take_as_less_time_as_possible_to_provide_service_to_the_administrator_or_the_librarian_","system","relevant"
"The_number_of_transactions_is_directly_dependent_on_the_number_of_users_the_users_may_be_the_Librarian_employees_of_the_Library_and_also_the_people_who_use_the_Library_for_checking_out_books_returning_books_and_checking_online_library_account_","The_of_transactions_is_directly_dependent_on_the_number_of_users_the_may_be_the_Librarian_employees_of_the_Library_and_also_the_people_use_the_Library_for_checking_out_books_returning_books_and_checking_online_library_account_","number_users_who","irrelevant"
"The_system_is_capable_of_handling_250_users_at_a_time_","The_is_capable_of_handling_250_users_at_a_time_","system","relevant"
"The_resources_are_modified_according_the_user_requirements_and_also_according_to_the_books_requested_by_the_users_","The_are_modified_according_the_user_requirements_and_also_according_to_the_books_requested_by_the_users_","resources","relevant"
"The_system_designers_shall_take_in_to_considerations_the_following_supportability_and_technical_limitations_","The_system_shall_take_in_to_considerations_the_following_supportability_and_technical_limitations_","designers","relevant"
"The_system_shall_be_comply_with_the_TCP_IP_protocol_standards_and_shall_be_designed_accordingly_","The_shall_be_comply_with_the_TCP_IP_protocol_standards_and_shall_be_designed_accordingly_","system","relevant"
"The_system_shall_support_the_UHCL_information_security_requirements_and_use_the_same_standard_as_the_UHCL_information_security_requirements_","The_shall_support_the_UHCL_information_security_requirements_and_use_the_same_standard_as_the_UHCL_information_security_requirements_","system","irrelevant"
"The_member_balance_amount_that_will_be_calculated_and_sent_to_the_billing_system_shall_be_compatible_with_the_data_types_and_design_constraints_of_the_billing_system_","The_member_balance_will_be_calculated_and_sent_to_the_billing_system_shall_be_compatible_with_the_data_types_and_design_constraints_of_the_billing_system_","amount_that","relevant"
"The_maintenance_of_the_system_shall_be_done_as_per_the_maintenance_contract_","The_of_the_system_shall_be_done_as_per_the_maintenance_contract_","maintenance","relevant"
"The_coding_standards_and_naming_conventions_will_be_as_per_the_American_standards_","The_coding_and_naming_conventions_will_be_as_per_the_American_standards_","standards","relevant"
"The_languages_that_shall_be_used_for_coding_the_Online_Library_System_are_Active_Server_Pages_ASP_Java_Servlets_Java_Server_Pages_JSP_HTML_JavaScript_and_VBScript_","The_shall_be_used_for_coding_the_Online_Library_System_are_Active_Server_Pages_ASP_Java_Servlets_Java_Server_Pages_JSP_HTML_JavaScript_and_VBScript_","languages_that","relevant"
"For_working_on_the_coding_phase_of_the_Online_Library_System_the_Internet_Information_Services_IIS_Server_needs_to_be_installed_","For_working_on_the_coding_phase_of_the_Online_Library_System_the_Internet_Information_Services_IIS_needs_to_be_installed_","Server","relevant"
"Also_we_need_to_develop_some_new_libraries_for_the_web_based_application_","Also_need_to_develop_some_new_libraries_for_the_web_based_application_","we","relevant"
"Online_help_is_provided_for_each_of_the_feature_available_with_the_Online_Library_System_","Online_is_provided_for_each_of_the_feature_available_with_the_Online_Library_System_","help","relevant"
"All_the_applications_provide_an_on_line_help_system_to_assist_the_user_","All_the_provide_an_on_line_help_system_to_assist_the_user_","applications","relevant"
"The_nature_of_these_systems_is_unique_to_application_development_as_they_combine_aspects_of_programming_hyperlinks_etc_with_aspects_of_technical_writing_organization_presentation_","The_of_these_systems_is_unique_to_application_development_as_combine_aspects_of_programming_hyperlinks_etc_with_aspects_of_technical_writing_organization_presentation_","nature_they","irrelevant"
"Online_help_is_provided_for_each_and_every_feature_provided_by_the_system_","Online_is_provided_for_each_and_every_feature_provided_by_the_system_","help","relevant"
"The_User_Manual_describes_the_use_of_the_system_to_Librarian_and_Employees_","The_User_describes_the_use_of_the_system_to_Librarian_and_Employees_","Manual","relevant"
"It_describes_the_use_of_the_system_on_mobile_systems_","describes_the_use_of_the_system_on_mobile_systems_","It","relevant"
"The_user_manual_should_be_available_as_a_hard_copy_and_also_as_online_help_","The_user_should_be_available_as_a_hard_copy_and_also_as_online_help_","manual","relevant"
"An_installation_document_will_be_provided_that_includes_the_installation_instructions_and_configuration_guidelines_which_is_important_to_a_full_solution_offering_","An_installation_will_be_provided_includes_the_installation_instructions_and_configuration_guidelines_is_important_to_a_full_solution_offering_","document_that_which","relevant"
"Also_a_Read_Me_file_is_typically_included_as_a_standard_component_","Also_a_Read_Me_is_typically_included_as_a_standard_component_","file","relevant"
"The_Read_Me_includes_a_What_s_New_With_This_Release_section_and_a_discussion_of_compatibility_issues_with_earlier_releases_","The_Read_includes_a_s_New_With_This_Release_section_and_a_discussion_of_compatibility_issues_with_earlier_releases_","Me_What","relevant"
"Most_users_also_appreciate_documentation_defining_any_known_bugs_and_workarounds_in_the_Read_Me_file_","Most_also_appreciate_documentation_defining_any_known_bugs_and_workarounds_in_the_Read_Me_file_","users","relevant"
"Since_the_installation_of_Online_Library_System_is_a_complex_process_our_experts_will_do_it_","Since_the_of_Online_Library_System_is_a_complex_process_our_will_do_it_","installation_experts","relevant"
"So_an_installation_Guide_will_not_be_provided_to_the_user_","So_an_installation_will_not_be_provided_to_the_user_","Guide","relevant"
"The_System_Administrator_will_need_to_purchase_the_license_for_IIS_Server_","The_System_will_need_to_purchase_the_license_for_IIS_Server_","Administrator","relevant"
"Mostly_it_is_available_on_the_online_shop_and_local_supermarket_","Mostly_is_available_on_the_online_shop_and_local_supermarket_","it","irrelevant"
"So_you_have_to_make_sure_that_the_system_need_not_purchase_any_licensing_products_from_Microsoft_","So_have_to_make_sure_that_the_need_not_purchase_any_licensing_products_from_Microsoft_","you_system","relevant"
"The_user_interface_of_the_system_shall_be_designed_as_shown_in_the_user_interface_prototypes_","The_user_of_the_system_shall_be_designed_as_shown_in_the_user_interface_prototypes_","interface","relevant"
"The_existing_Local_Area_Network_LAN_will_be_used_for_collecting_data_from_the_users_and_also_for_updating_the_Library_Catalogue_","The_existing_Local_Area_LAN_will_be_used_for_collecting_data_from_the_users_and_also_for_updating_the_Library_Catalogue_","Network","irrelevant"
"A_firewall_will_be_used_with_the_server_to_prevent_unauthorized_access_to_the_system_","A_will_be_used_with_the_server_to_prevent_unauthorized_access_to_the_system_","firewall","relevant"
"The_Online_Library_System_will_be_connected_to_the_World_Wide_Web_","The_Online_Library_will_be_connected_to_the_World_Wide_Web_","System","relevant"
"The_usage_is_restricted_to_only_University_of_Houston_Clearlake_Library_who_is_purchasing_the_Online_Library_System_from_Library_InfoSys_and_signs_the_maintenance_contract_","The_is_restricted_to_only_University_of_Houston_Clearlake_Library_is_purchasing_the_Online_Library_System_from_Library_InfoSys_and_signs_the_maintenance_contract_","usage_who","irrelevant"
"Online_Library_System_is_a_trademark_of_Library_InfoSys_and_cannot_be_used_without_its_consent_","Online_Library_is_a_trademark_of_Library_InfoSys_and_cannot_be_used_without_its_consent_","System","relevant"
